Hashtag,Label
pitbull,0
britneyspears,0
thekinks,0
therollingstones,0
fleetwoodmac,0
bennyblancohalseykhalid,0
eltonjohn,0
foreigner,0
shawnmendes,0
rundmcjasonnevins,0
3doorsdown,0
themonkees,0
wings,0
edsheeran,0
pussycat,0
nathaniel,0
buzzclifford,0
tinacharles,0
gleecastgwynethpaltrow,0
thesoupdragonsjuniorreid,0
samsmith,0
suziquatro,0
troyesivan,0
kcthesunshineband,0
heymonday,0
pnk,0
arianagrande,0
martywilde,0
brendalee,0
denihines,0
trex,0
belindacarlisle,0
johnmellencamp,0
mileycyrus,0
birdy,0
zeddhayleywilliams,0
redhotchilipeppers,0
queen,0
warumpiband,0
craigdavid,0
montevideo,0
jarrydjamesjuliastone,0
cwmccall,0
manfredmann,0
amywinehouse,0
conormaynardneyo,0
timbaland,0
gotyekimbra,0
yusufcatstevens,0
theeasybeats,0
steviewonder,0
samsmith,0
petulaclark,0
eminem,0
sugababes,0
zayhilfigerrrzayionmccall,0
ladygaga,0
madness,0
drhook,0
joejones,0
smashmouth,0
jordieirelandavahayz,0
tomcochrane,0
dualipa,0
backstreetboys,0
selenagomez,0
seanpaul,0
eltonjohn,0
floridaakon,0
kaseychambers,0
pmdawn,0
swedishhousemafiajohnmartin,0
vanessawilliams,0
labrinthemelisandé,0
thebeachboys,0
sia,0
spandauballet,0
edsheeran,0
zeddalessiacara,0
ollymurs,0
davidguettasia,0
davidjones,0
kimwilde,0
ollymurstraviemccoy,0
tatemcrae,0
guysebastian,0
justinbieberbigsean,0
mandymoore,0
alunageorgepopcaan,0
shakirarihanna,0
johnnycashjunecartercash,0
youthgroup,0
caroleking,0
traviemccoybrunomars,0
meco,0
tedmulrygang,0
capitalcities,0
pendulum,0
theconnells,0
spindoctors,0
tonibraxton,0
danniiminogue,0
codysimpsonflorida,0
bryanferry,0
jamesarthur,0
staffordbrotherslilwaynechristinamilian,0
mariahcareytreylorenz,0
tatemcraekhalid,0
littlemix,0
powfubeabadoobee,0
taylorhenderson,0
samanthajade,0
nitty,0
jaruleashanti,0
prince,0
thehumanleague,0
markholden,0
