Hashtag,Label
jakarta,0
delhi,0
guangzhou,0
mumbai,0
manila,0
shanghai,0
sãopaulo,0
seoul,0
mexicocity,0
cairo,0
newyork,0
dhaka,0
beijing,0
kolkāta,0
bangkok,0
shenzhen,0
moscow,0
buenosaires,0
lagos,0
istanbul,0
karachi,0
bangalore,0
hochiminhcity,0
ōsaka,0
chengdu,0
tehran,0
kinshasa,0
riodejaneiro,0
chennai,0
xian,0
lahore,0
chongqing,0
losangeles,0
baoding,0
london,0
paris,0
linyi,0
dongguan,0
hyderābād,0
tianjin,0
lima,0
wuhan,0
nanyang,0
hangzhou,0
foshan,0
nagoya,0
tongshan,0
luanda,0
zhoukou,0
ganzhou,0
kualalumpur,0
heze,0
quanzhou,0
johannesburg,0
chicago,0
nanjing,0
jining,0
hanoi,0
pune,0
fuyang,0
ahmedabad,0
bogotá,0
shenyang,0
daressalaam,0
khartoum,0
shangqiu,0
hongkong,0
cangzhou,0
riyadh,0
santiago,0
xingtai,0
zhumadian,0
chattogram,0
surabaya,0
zhanjiang,0
bijie,0
yancheng,0
hengyang,0
zunyi,0
shaoyang,0
sūrat,0
shangrao,0
xinyang,0
madrid,0
baghdad,0
maoming,0
jieyang,0
miami,0
singapore,0
houston,0
liaocheng,0
huanggang,0
dalian,0
dallas,0
qingdao,0
yulin,0
douala,0
qujing,0
nangandao,0
philadelphia,0
pudong,0
toronto,0
zhengzhou,0
dezhou,0
nanchong,0
jinan,0
giza,0
nairobi,0
guadalajara,0
ankara,0
taian,0
langfang,0
dazhou,0
saintpetersburg,0
monterrey,0
belohorizonte,0
suzhou,0
yongzhou,0
changde,0
xiangyang,0
rangoon,0
atlanta,0
washington,0
zhaotong,0
zhangzhou,0
melbourne,0
yichun,0
bozhou,0
suqian,0
abidjan,0
jian,0
guilin,0
pingdingshan,0
berlin,0
alexandria,0
mianyang,0
sydney,0
huanglongsi,0
barcelona,0
yuncheng,0
capetown,0
changsha,0
jeddah,0
weinan,0
chenzhou,0
jiangmen,0
jiujiang,0
xinpu,0
yibin,0
huaihua,0
yangzhou,0
taizhou,0
kunming,0
yiyang,0
changchun,0
luan,0
jiangguanchi,0
meizhou,0
ürümqi,0
suzhou,0
boston,0
izmir,0
guigang,0
shantou,0
kabul,0
xiaoganzhan,0
bamako,0
luzhou,0
hefei,0
hengshui,0
fortaleza,0
anqing,0
liuzhou,0
zhangjiakou,0
zhaoqing,0
shijiazhuang,0
ningbo,0
qiqihar,0
phoenix,0
fuzhou,0
chifeng,0
xiaoxita,0
amman,0
chuzhou,0
linfen,0
qingyuan,0
xianyang,0
loudi,0
binzhou,0
zhuzhou,0
taiyuan,0
nanning,0
harbin,0
abuja,0
yokohama,0
suihua,0
zaozhuang,0
detroit,0
xiamen,0
neijiang,0
montréal,0
fuzhou,0
baicheng,0
wuhu,0
yulinshi,0
medan,0
wenzhou,0
changzhou,0
puyang,0
jiaozuo,0
nanchang,0
seattle,0
ibadan,0
casablanca,0
kumasi,0
deyang,0
busan,0
hohhot,0
hechi,0
algiers,0
tangshan,0
shiyan,0
lucknow,0
mashhad,0
sanfrancisco,0
boankra,0
dubai,0
anshan,0
baojishi,0
qinzhou,0
guiyang,0
bengbu,0
bazhou,0
suining,0
wuxi,0
kotlaqasimkhan,0
hanzhong,0
putian,0
zhenjiang,0
guangan,0
faisalabad,0
changzhi,0
tongren,0
leshan,0
santacruzdelasierra,0
qinhuangdao,0
jaipur,0
xinzhou,0
lanzhou,0
wuzhou,0
athens,0
sandiego,0
addisababa,0
taichung,0
huainan,0
guatemalacity,0
kuwaitcity,0
budapest,0
qincheng,0
rizhao,0
quezoncity,0
sanaa,0
tashkent,0
kyiv,0
meishan,0
incheon,0
birmingham,0
ningde,0
zhongshan,0
weihai,0
bursa,0
minneapolis,0
mbujimayi,0
haikou,0
tongliao,0
chaoyang,0
lapaz,0
pyongyang,0
tampa,0
shaoguan,0
heyuan,0
brasília,0
omdurman,0
malang,0
stuttgart,0
daqing,0
rome,0
brooklyn,0
kaohsiung,0
xiangtan,0
longyan,0
baotou,0
handan,0
jinzhou,0
kanpur,0
denver,0
nanping,0
gāzipura,0
shanwei,0
